Longitude,Latitude
-0.11124,-13.888
0.081298,-38.684
0.15499,-14.261
0.42209,-14.634
0.63956,-38.575
0.69011,-15.007
0.95906,-15.379
1.1961,-38.464
1.229,-15.751
1.4999,-16.123
1.751,-38.351
1.7718,-16.494
2.0448,-16.865
2.3041,-38.234
2.3188,-17.235
2.5939,-17.606
2.8554,-38.116
2.8702,-17.975
3.1476,-18.345
3.4049,-37.994
3.4262,-18.714
3.706,-19.082
3.9526,-37.87
3.9871,-19.45
4.2694,-19.818
4.4984,-37.744
4.5531,-20.185
4.838,-20.552
5.0423,-37.615
5.1244,-20.918
5.4121,-21.283
5.5844,-37.483
5.7013,-21.648
5.9919,-22.013
6.1245,-37.349
6.284,-22.377
6.5777,-22.741
6.6627,-37.213
6.8729,-23.104
7.1697,-23.466
7.199,-37.074
7.4681,-23.828
7.7333,-36.933
7.7682,-24.189
8.07,-24.55
8.2656,-36.789
8.3735,-24.91
8.6788,-25.269
8.7959,-36.643
8.9858,-25.628
9.2948,-25.986
9.3242,-36.494
9.6055,-26.343
9.8505,-36.344
9.9183,-26.7
10.233,-27.056
10.375,-36.191
10.55,-27.411
10.868,-27.766
10.897,-36.035
11.189,-28.119
11.417,-35.877
11.512,-28.472
11.837,-28.825
11.935,-35.718
12.164,-29.176
12.451,-35.556
12.494,-29.526
12.825,-29.876
12.965,-35.391
13.159,-30.225
13.477,-35.225
13.496,-30.573
13.835,-30.92
13.986,-35.056
14.176,-31.266
14.494,-34.885
14.52,-31.611
14.866,-31.956
14.999,-34.712
15.215,-32.299
15.503,-34.537
15.566,-32.641
15.921,-32.982
16.004,-34.36
16.278,-33.323
16.503,-34.181
16.637,-33.662
17,-34
17,-34
28,-36
28,-36
28.494,-35.794
28.506,-36.19
28.985,-35.587
29.014,-36.378
29.474,-35.377
29.525,-36.564
29.96,-35.165
30.038,-36.747
30.444,-34.952
30.554,-36.929
30.925,-34.736
31.072,-37.108
31.403,-34.519
31.593,-37.284
31.88,-34.3
32.116,-37.459
32.353,-34.078
32.641,-37.631
32.824,-33.855
33.169,-37.801
33.293,-33.631
33.699,-37.968
33.76,-33.404
34.223,-33.176
34.232,-38.133
34.685,-32.946
34.767,-38.296
35.144,-32.714
35.304,-38.456
35.601,-32.481
35.844,-38.614
36.055,-32.246
36.386,-38.769
36.507,-32.009
36.931,-38.921
36.957,-31.771
37.404,-31.531
37.477,-39.071
37.849,-31.289
38.027,-39.219
38.292,-31.046
38.578,-39.364
38.733,-30.802
39.131,-39.506
39.171,-30.556
39.607,-30.308
39.687,-39.645
40.041,-30.059
40.245,-39.782
40.472,-29.809
40.806,-39.917
40.902,-29.557
41.33,-29.304
41.368,-40.048
41.755,-29.049
41.933,-40.177
42.178,-28.794
42.499,-40.303
42.599,-28.536
43.019,-28.278
43.068,-40.426
43.436,-28.018
43.639,-40.546
43.851,-27.757
44.212,-40.664
44.264,-27.494
44.675,-27.231
44.787,-40.779
45.084,-26.966
45.363,-40.891
45.492,-26.7
45.897,-26.433
45.942,-40.999
46.3,-26.164
46.523,-41.105
46.702,-25.895
47.102,-25.624
47.105,-41.209
47.5,-25.353
47.689,-41.309
47.896,-25.08
48.275,-41.406
48.291,-24.806
48.684,-24.531
48.863,-41.5
49.075,-24.255
49.453,-41.591
49.464,-23.978
49.852,-23.7
50.044,-41.679
50.238,-23.421
50.622,-23.142
50.636,-41.764
51.005,-22.861
51.23,-41.846
51.386,-22.579
51.766,-22.296
51.826,-41.925
52.144,-22.013
52.423,-42.001
52.521,-21.728
52.896,-21.443
53.022,-42.074
53.27,-21.157
53.622,-42.144
53.642,-20.87
54.013,-20.582
54.223,-42.21
54.382,-20.294
54.75,-20.004
54.825,-42.273
55.117,-19.714
55.429,-42.334
55.483,-19.423
55.847,-19.131
56.033,-42.391
56.209,-18.839
56.571,-18.546
56.639,-42.444
56.931,-18.252
57.246,-42.495
57.254,-17.949
57.612,-17.654
57.854,-42.542
57.968,-17.358
58.324,-17.061
58.462,-42.586
58.679,-16.765
59.032,-16.467
59.072,-42.627
59.385,-16.169
59.682,-42.665
59.736,-15.87
60.087,-15.57
60.293,-42.699
60.436,-15.27
60.784,-14.97
60.904,-42.73
61.132,-14.669
61.478,-14.367
61.516,-42.758
61.824,-14.065
62.129,-42.783
62.168,-13.762
62.512,-13.459
62.742,-42.804
62.855,-13.156
63.197,-12.852
63.356,-42.822
63.538,-12.547
63.879,-12.242
63.969,-42.837
64.218,-11.937
64.557,-11.631
64.583,-42.848
64.895,-11.325
65.198,-42.856
65.233,-11.019
65.57,-10.712
65.812,-42.861
65.906,-10.405
66.241,-10.097
66.427,-42.863
66.576,-9.7889
66.91,-9.4806
67.041,-42.861
67.244,-9.172
67.577,-8.863
67.656,-42.856
67.909,-8.5538
68.241,-8.2443
68.27,-42.848
68.572,-7.9345
68.884,-42.836
68.903,-7.6244
69.234,-7.3141
69.498,-42.821
69.564,-7.0036
69.893,-6.6928
70.111,-42.803
70.222,-6.3818
70.551,-6.0705
70.724,-42.781
70.879,-5.7591
71.207,-5.4475
71.337,-42.757
71.535,-5.1357
71.862,-4.8237
71.949,-42.729
72.189,-4.5116
72.516,-4.1993
72.556,-42.694
72.843,-3.8869
73.166,-42.66
73.169,-3.5744
73.495,-3.2618
73.777,-42.622
73.821,-2.949
74.147,-2.6361
74.386,-42.581
74.472,-2.3232
74.798,-2.0102
74.995,-42.536
75.123,-1.6971
75.448,-1.384
75.603,-42.489
75.773,-1.0708
76.098,-0.75756
76.209,-42.438
76.423,-0.44431
76.748,-0.13106
76.815,-42.384
77.073,0.1822
77.398,0.49545
77.42,-42.327
77.723,0.80869
78.023,-42.267
78.048,1.1219
78.373,1.4351
78.626,-42.203
78.698,1.7482
79.023,2.0613
